sample,F1
SRR14000614,1.0
SRR14024961,
SRR13726590,
SRR13727011,1.0
SRR13726582,
SRR13999927,0.8794920698654889
SRR13726551,1.0
SRR13999934,0.7278136564835643
SRR13727008,0.9760279743849005
SRR13712363,0.94280057199428
SRR14000594,1.0
SRR13725703,1.0
SRR13726554,0.5
SRR13725727,
SRR13712377,1.0
SRR14000019,1.0
SRR13726529,0.8971585192381084
SRR14000592,0.6530754969374105
SRR13726561,1.0
SRR13712371,0.656381891321551
SRR13726578,1.0
SRR13712375,0.8560013540865911
SRR13712383,1.0
SRR13999995,
SRR13999918,
SRR13727002,0.3741544385471953
SRR13725706,1.0
SRR13712391,0.6141962570632263
SRR13726557,0.5340436946858033
SRR13727000,0.7104576415636582
SRR13726569,0.9698217256952698
SRR13999953,1.0
SRR13727003,0.9838131788042342
SRR13726512,0.623172357686832
SRR13725714,
SRR13712379,0.6129921538135293
SRR13712366,0.6332268585454424
SRR13726564,
SRR14000598,
SRR13999996,0.7518508086285003
SRR13999990,
SRR13726589,1.0
SRR13726536,0.611938879528445
SRR13999994,0.5
SRR13712361,1.0
SRR13726594,0.06509997701677775
SRR13999940,0.5301935404925867
SRR13726587,0.6900263705759889
SRR13999931,0.6056558641302927
SRR13712518,
SRR13727034,1.0
SRR14000004,
SRR13727026,1.0
SRR13999937,1.0
SRR13726504,1.0
SRR13725701,0.6499423338087666
SRR14000005,0.5
SRR13727025,1.0
SRR14000018,1.0
SRR13712384,
